sno,name,mail,phonenumber,branch,year,hr_score,hr_completion,lc_easy,lc_medium,lc_hard,lc_total,cc_rating,cc_stars,cc_country_rank,cc_global_rank,cc_highest_rating,maya,maya_score,maya_rank,gfg_score,gfg_problems,github_profile,linkedin_profile
1,Student_1,student1@example.com,9565820308,CSE,4,46,43,128,25,5,161,1279,2,790,15684,1924,Yes,57,52,25,3,https://github.com/student1,https://linkedin.com/in/student1
2,Student_2,student2@example.com,9187851222,ECE,1,14,52,54,86,30,81,925,3,3143,57464,831,No,21,152,120,49,https://github.com/student2,https://linkedin.com/in/student2
3,Student_3,student3@example.com,9256769619,CSE,2,44,2,65,149,30,46,1473,3,3981,27961,2201,Yes,46,391,18,54,https://github.com/student3,https://linkedin.com/in/student3
4,Student_4,student4@example.com,9228209863,CSE,4,88,85,128,190,8,368,1215,1,1612,22073,2261,No,78,411,100,207,https://github.com/student4,https://linkedin.com/in/student4
5,Student_5,student5@example.com,9956836647,ECE,2,72,68,168,67,14,10,1033,2,3985,4790,1348,No,87,313,90,286,https://github.com/student5,https://linkedin.com/in/student5
6,Student_6,student6@example.com,9243104559,ECE,1,91,95,41,42,30,258,2070,4,377,68235,2260,No,66,428,99,298,https://github.com/student6,https://linkedin.com/in/student6
7,Student_7,student7@example.com,9349523911,ECE,1,71,24,194,143,13,153,1686,1,1658,86274,834,No,86,323,189,107,https://github.com/student7,https://linkedin.com/in/student7
8,Student_8,student8@example.com,9616307635,IT,2,62,41,93,80,37,266,1466,3,4468,57777,2046,No,16,317,17,228,https://github.com/student8,https://linkedin.com/in/student8
9,Student_9,student9@example.com,9953935756,ECE,3,9,37,36,56,17,180,1045,4,880,30576,1101,No,46,76,73,208,https://github.com/student9,https://linkedin.com/in/student9
10,Student_10,student10@example.com,9876384683,MECH,2,27,51,129,23,0,77,1249,3,3827,6927,1753,Yes,89,60,23,213,https://github.com/student10,https://linkedin.com/in/student10
11,Student_11,student11@example.com,9610803096,MECH,4,89,45,42,115,46,155,2328,5,3791,73527,1243,No,67,375,99,163,https://github.com/student11,https://linkedin.com/in/student11
12,Student_12,student12@example.com,9627353656,MECH,1,43,32,54,39,26,196,948,4,258,71818,851,No,27,441,69,116,https://github.com/student12,https://linkedin.com/in/student12
13,Student_13,student13@example.com,9242898498,IT,3,83,34,119,63,27,278,2209,1,1425,18606,1431,Yes,32,67,32,39,https://github.com/student13,https://linkedin.com/in/student13
14,Student_14,student14@example.com,9735675969,ECE,3,75,39,152,55,12,378,1397,1,2164,15271,1361,No,16,227,143,157,https://github.com/student14,https://linkedin.com/in/student14
15,Student_15,student15@example.com,9288676349,CSE,2,20,16,32,84,44,379,1126,5,3689,61769,2388,Yes,45,268,116,46,https://github.com/student15,https://linkedin.com/in/student15
16,Student_16,student16@example.com,9189751852,CIVIL,4,14,9,84,58,1,110,1297,3,4841,70370,2566,Yes,70,94,84,246,https://github.com/student16,https://linkedin.com/in/student16
17,Student_17,student17@example.com,9925244764,CSE,1,49,33,169,178,8,399,2411,2,1996,5279,1641,Yes,71,259,91,96,https://github.com/student17,https://linkedin.com/in/student17
18,Student_18,student18@example.com,9807010889,CSE,3,52,13,21,41,9,83,1830,1,2549,17425,2218,No,71,482,164,4,https://github.com/student18,https://linkedin.com/in/student18
19,Student_19,student19@example.com,9169546608,CIVIL,3,74,46,175,199,5,52,1172,1,1346,2820,1505,Yes,17,358,94,218,https://github.com/student19,https://linkedin.com/in/student19
20,Student_20,student20@example.com,9422557483,IT,4,10,90,14,198,6,25,1920,3,2071,14548,1666,No,26,395,180,229,https://github.com/student20,https://linkedin.com/in/student20
21,Student_21,student21@example.com,9241191300,CSE,2,12,0,133,152,27,213,931,5,4804,15266,1335,No,97,348,141,264,https://github.com/student21,https://linkedin.com/in/student21
22,Student_22,student22@example.com,9627961473,CIVIL,2,34,92,66,54,15,42,2268,2,4990,88591,1606,No,63,147,159,157,https://github.com/student22,https://linkedin.com/in/student22
