sno,name,mail,phonenumber,branch,year,hr_score,hr_completion,lc_easy,lc_medium,lc_hard,lc_total,cc_rating,cc_stars,cc_country_rank,cc_global_rank,cc_highest_rating,maya,maya_score,maya_rank,gfg_score,gfg_problems,github_profile,linkedin_profile
1,Student_1,student1@example.com,9537874403,MECH,2,59,43,197,73,3,160,1154,3,2558,92370,2412,No,55,376,131,79,https://github.com/student1,https://linkedin.com/in/student1
2,Student_2,student2@example.com,9235342691,CSE,1,2,2,4,150,21,369,2391,5,1788,7683,2375,No,85,376,118,61,https://github.com/student2,https://linkedin.com/in/student2
3,Student_3,student3@example.com,9960664481,MECH,1,53,47,113,131,20,123,1616,1,3902,23458,1197,No,17,417,172,48,https://github.com/student3,https://linkedin.com/in/student3
4,Student_4,student4@example.com,9217296004,CSE,2,8,15,1,139,21,335,1867,3,2489,55426,852,No,37,200,41,267,https://github.com/student4,https://linkedin.com/in/student4
5,Student_5,student5@example.com,9939438339,IT,4,31,73,62,165,36,117,1897,5,1515,25531,2402,Yes,76,166,79,31,https://github.com/student5,https://linkedin.com/in/student5
6,Student_6,student6@example.com,9133699988,CIVIL,4,89,15,177,68,0,163,1845,4,3678,98986,1109,Yes,64,355,177,196,https://github.com/student6,https://linkedin.com/in/student6
7,Student_7,student7@example.com,9958181247,ECE,3,84,34,81,93,32,109,1955,1,632,98730,1335,No,58,440,6,132,https://github.com/student7,https://linkedin.com/in/student7
8,Student_8,student8@example.com,9513223745,IT,2,8,75,188,78,3,0,1869,1,1427,39644,1109,Yes,43,158,124,105,https://github.com/student8,https://linkedin.com/in/student8
9,Student_9,student9@example.com,9852343445,CSE,1,46,30,125,70,32,389,2449,4,479,66050,1726,No,59,348,40,31,https://github.com/student9,https://linkedin.com/in/student9
10,Student_10,student10@example.com,9817722106,IT,4,88,0,110,34,12,128,2147,5,2393,52078,2173,Yes,38,57,93,211,https://github.com/student10,https://linkedin.com/in/student10
11,Student_11,student11@example.com,9841979402,CIVIL,3,40,15,55,138,29,145,1145,4,4642,57673,1147,No,26,427,86,234,https://github.com/student11,https://linkedin.com/in/student11
12,Student_12,student12@example.com,9500297855,IT,4,3,61,88,56,3,95,1687,2,2263,77914,2198,Yes,5,338,67,209,https://github.com/student12,https://linkedin.com/in/student12
13,Student_13,student13@example.com,9978650012,MECH,4,88,72,55,175,6,222,1707,5,1706,53843,1595,Yes,27,18,159,38,https://github.com/student13,https://linkedin.com/in/student13
14,Student_14,student14@example.com,9981580557,CIVIL,4,21,5,94,149,8,8,1358,5,3244,49678,1553,No,98,333,51,69,https://github.com/student14,https://linkedin.com/in/student14
15,Student_15,student15@example.com,9470143986,CIVIL,1,45,60,117,84,44,309,1153,2,3802,50219,2258,No,26,433,17,230,https://github.com/student15,https://linkedin.com/in/student15
16,Student_16,student16@example.com,9634586701,CSE,3,30,97,150,125,20,336,2332,2,4639,28431,2310,Yes,62,300,150,116,https://github.com/student16,https://linkedin.com/in/student16
17,Student_17,student17@example.com,9146355674,CSE,3,95,42,44,125,13,37,1180,1,3204,96753,1639,No,27,42,194,288,https://github.com/student17,https://linkedin.com/in/student17
18,Student_18,student18@example.com,9385061822,CIVIL,4,1,73,94,28,27,392,1314,1,2856,63822,1600,Yes,14,196,107,93,https://github.com/student18,https://linkedin.com/in/student18
19,Student_19,student19@example.com,9108441541,IT,3,13,78,142,197,28,167,1528,1,2299,94421,2397,No,26,244,152,78,https://github.com/student19,https://linkedin.com/in/student19
20,Student_20,student20@example.com,9513951516,IT,2,57,84,12,167,4,276,875,1,803,91907,1599,No,74,401,141,169,https://github.com/student20,https://linkedin.com/in/student20
